    TIME,    CASE,    FLAP,     AOA,   AOAHT, AOAGUST,    BETA,   THETA,     PHI,     ALT,     EAS,    MACH,   P_CMD,   R_CMD,   Y_CMD,     ELE,     AIL,     RUD,    ETAB,    FZWB,    FZHT,    FYVT,      NX,      NY,      NZ,       Q,      QP,       P,      PP,       R,      RP,       U,       V,       W
    0.48,10000001,    0.00,   6.782,   1.759,   0.000,  -0.000,   7.211,   0.000,    381.,   98.19,   0.295,  -0.555,   0.000,   0.000, -14.997,   0.000,   0.000,   2.265,  44153.,  -9279.,      0., -0.1085,  0.0000,  0.8341,  0.4436,  1.4044, -0.0000, -0.0000, -0.0000, -0.0000, 99.2926, -0.0000, 11.8088,
    0.49,10000001,    0.00,   7.049,   1.854,   0.000,  -0.000,   7.215,   0.000,    394.,   98.13,   0.295,  -0.565,   0.000,   0.000, -15.267,   0.000,   0.000,   2.265,  44132.,  -9297.,      0., -0.1080,  0.0000,  0.8332,  0.4576,  1.4101, -0.0000, -0.0000, -0.0000, -0.0000, 99.2367, -0.0000, 12.2716,
    0.50,10000001,    0.00,   7.325,   1.949,   0.000,  -0.000,   7.220,   0.000,    407.,   98.06,   0.295,  -0.575,   0.000,   0.000, -15.537,   0.000,   0.000,   2.265,  44111.,  -9315.,      0., -0.1076,  0.0000,  0.8323,  0.4717,  1.4157, -0.0000, -0.0000, -0.0000, -0.0000, 99.1768, -0.0000, 12.7482,
    0.51,10000001,    0.00,   7.608,   2.044,   0.000,  -0.000,   7.225,   0.000,    420.,   98.00,   0.295,  -0.585,   0.000,   0.000, -15.807,   0.000,   0.000,   2.265,  44090.,  -9334.,      0., -0.1071,  0.0000,  0.8313,  0.4858,  1.4219, -0.0000, -0.0000, -0.0000, -0.0000, 99.1128, -0.0000, 13.2386,
    0.52,10000001,    0.00,   7.900,   2.140,   0.000,  -0.000,   7.230,   0.000,    433.,   97.94,   0.295,  -0.595,   0.000,   0.000, -16.077,   0.000,   0.000,   2.265,  44069.,  -9356.,      0., -0.1066,  0.0000,  0.8303,  0.5000,  1.4288, -0.0000, -0.0000, -0.0000, -0.0000, 99.0444, -0.0000, 13.7428,
    0.53,10000001,    0.00,   8.199,   2.236,   0.000,  -0.000,   7.235,   0.000,    447.,   97.88,   0.295,  -0.605,   0.000,   0.000, -16.347,   0.000,   0.000,   2.265,  44048.,  -9378.,      0., -0.1061,  0.0000,  0.8293,  0.5143,  1.4356, -0.0000, -0.0000, -0.0000, -0.0000, 98.9715, -0.0000, 14.2608,
    0.54,10000001,    0.00,   8.507,   2.332,   0.000,  -0.000,   7.240,   0.000,    460.,   97.82,   0.295,  -0.615,   0.000,   0.000, -16.617,   0.000,   0.000,   2.265,  44028.,  -9400.,      0., -0.1056,  0.0000,  0.8283,  0.5286,  1.4423, -0.0000, -0.0000, -0.0000, -0.0000, 98.8938, -0.0000, 14.7928,
    0.55,10000001,    0.00,   8.824,   2.429,   0.000,  -0.000,   7.246,   0.000,    472.,   97.76,   0.295,  -0.625,   0.000,   0.000, -16.887,   0.000,   0.000,   2.265,  44009.,  -9422.,      0., -0.1051,  0.0000,  0.8273,  0.5430,  1.4489, -0.0000, -0.0000, -0.0000, -0.0000, 98.8110, -0.0000, 15.3385,
    0.56,10000001,    0.00,   9.148,   2.527,   0.000,  -0.000,   7.251,   0.000,    485.,   97.69,   0.295,  -0.635,   0.000,   0.000, -17.157,   0.000,   0.000,   2.265,  43990.,  -9443.,      0., -0.1047,  0.0000,  0.8264,  0.5575,  1.4553, -0.0000, -0.0000, -0.0000, -0.0000, 98.7230, -0.0000, 15.8982,
    0.57,10000001,    0.00,   9.481,   2.625,   0.000,  -0.000,   7.257,   0.000,    498.,   97.64,   0.296,  -0.645,   0.000,   0.000, -17.427,   0.000,   0.000,   2.265,  43972.,  -9465.,      0., -0.1042,  0.0000,  0.8254,  0.5720,  1.4617, -0.0000, -0.0000, -0.0000, -0.0000, 98.6294, -0.0000, 16.4718,
    0.58,10000001,    0.00,   9.823,   2.723,   0.000,  -0.000,   7.262,   0.000,    511.,   97.58,   0.296,  -0.655,   0.000,   0.000, -17.697,   0.000,   0.000,   2.265,  43955.,  -9486.,      0., -0.1038,  0.0000,  0.8245,  0.5866,  1.4681, -0.0000, -0.0000, -0.0000, -0.0000, 98.5301, -0.0000, 17.0593,
    0.59,10000001,    0.00,  10.173,   2.822,   0.000,  -0.000,   7.268,   0.000,    523.,   97.52,   0.296,  -0.665,   0.000,   0.000, -17.967,   0.000,   0.000,   2.265,  43939.,  -9507.,      0., -0.1034,  0.0000,  0.8236,  0.6013,  1.4743, -0.0000, -0.0000, -0.0000, -0.0000, 98.4247, -0.0000, 17.6607,
    0.60,10000001,    0.00,  10.531,   2.921,   0.000,  -0.000,   7.274,   0.000,    535.,   97.46,   0.296,  -0.675,   0.000,   0.000, -18.237,   0.000,   0.000,   2.265,  43923.,  -9528.,      0., -0.1029,  0.0000,  0.8228,  0.6160,  1.4805, -0.0000, -0.0000, -0.0000, -0.0000, 98.3131, -0.0000, 18.2760,
    0.61,10000001,    0.00,  10.898,   3.021,   0.000,  -0.000,   7.281,   0.000,    547.,   97.41,   0.296,  -0.685,   0.000,   0.000, -18.507,   0.000,   0.000,   2.265,  43909.,  -9548.,      0., -0.1025,  0.0000,  0.8220,  0.6308,  1.4864, -0.0000, -0.0000, -0.0000, -0.0000, 98.1948, -0.0000, 18.9051,
    0.62,10000001,    0.00,  11.273,   3.121,   0.000,  -0.000,   7.287,   0.000,    558.,   97.35,   0.296,  -0.695,   0.000,   0.000, -18.777,   0.000,   0.000,   2.265,  43896.,  -9563.,      0., -0.1021,  0.0000,  0.8214,  0.6456,  1.4912, -0.0000, -0.0000, -0.0000, -0.0000, 98.0697, -0.0000, 19.5481,
    0.63,10000001,    0.00,  11.657,   3.221,   0.000,  -0.000,   7.294,   0.000,    570.,   97.30,   0.296,  -0.705,   0.000,   0.000, -19.047,   0.000,   0.000,   2.265,  43885.,  -9579.,      0., -0.1016,  0.0000,  0.8207,  0.6605,  1.4961, -0.0000, -0.0000, -0.0000, -0.0000, 97.9375, -0.0000, 20.2049,
    0.64,10000001,    0.00,  12.049,   3.322,   0.000,  -0.000,   7.300,   0.000,    581.,   97.25,   0.296,  -0.715,   0.000,   0.000, -19.317,   0.000,   0.000,   2.265,  43875.,  -9595.,      0., -0.1012,  0.0000,  0.8201,  0.6755,  1.5009, -0.0000, -0.0000, -0.0000, -0.0000, 97.7977, -0.0000, 20.8755,
    0.65,10000001,    0.00,  12.450,   3.423,   0.000,  -0.000,   7.307,   0.000,    592.,   97.20,   0.296,  -0.725,   0.000,   0.000, -19.587,   0.000,   0.000,   2.265,  43866.,  -9610.,      0., -0.1008,  0.0000,  0.8196,  0.6904,  1.5057, -0.0000, -0.0000, -0.0000, -0.0000, 97.6503, -0.0000, 21.5597,
    0.66,10000001,    0.00,  12.860,   3.524,   0.000,  -0.000,   7.314,   0.000,    602.,   97.15,   0.296,  -0.735,   0.000,   0.000, -19.857,   0.000,   0.000,   2.265,  43859.,  -9626.,      0., -0.1003,  0.0000,  0.8191,  0.7055,  1.5105, -0.0000, -0.0000, -0.0000, -0.0000, 97.4947, -0.0000, 22.2577,
    0.67,10000001,    0.00,  13.278,   3.625,   0.000,  -0.000,   7.321,   0.000,    612.,   97.10,   0.296,  -0.745,   0.000,   0.000, -20.127,   0.000,   0.000,   2.265,  43854.,  -9612.,      0., -0.0998,  0.0000,  0.8193,  0.7205,  1.5084, -0.0000, -0.0000, -0.0000, -0.0000, 97.3308, -0.0000, 22.9692,
    0.68,10000001,    0.00,  13.705,   3.726,   0.000,  -0.000,   7.329,   0.000,    621.,   97.06,   0.296,  -0.755,   0.000,   0.000, -20.397,   0.000,   0.000,   2.265,  43850.,  -9566.,      0., -0.0991,  0.0000,  0.8206,  0.7355,  1.4992, -0.0000, -0.0000, -0.0000, -0.0000, 97.1582, -0.0000, 23.6940,
    0.69,10000001,    0.00,  14.141,   3.826,   0.000,  -0.000,   7.336,   0.000,    630.,   97.02,   0.296,  -0.765,   0.000,   0.000, -20.667,   0.000,   0.000,   2.265,  43848.,  -9523.,      0., -0.0984,  0.0000,  0.8218,  0.7504,  1.4906, -0.0000, -0.0000, -0.0000, -0.0000, 96.9766, -0.0000, 24.4319,
    0.70,10000001,    0.00,  14.584,   3.926,   0.000,  -0.000,   7.344,   0.000,    639.,   96.98,   0.296,  -0.775,   0.000,   0.000, -20.937,   0.000,   0.000,   2.265,  43848.,  -9482.,      0., -0.0977,  0.0000,  0.8229,  0.7652,  1.4826, -0.0000, -0.0000, -0.0000, -0.0000, 96.7856, -0.0000, 25.1827,
    0.71,10000001,    0.00,  15.037,   4.025,   0.000,  -0.000,   7.351,   0.000,    647.,   96.94,   0.296,  -0.785,   0.000,   0.000, -21.207,   0.000,   0.000,   2.265,  43850.,  -9443.,      0., -0.0970,  0.0000,  0.8240,  0.7800,  1.4749, -0.0000, -0.0000, -0.0000, -0.0000, 96.5851, -0.0000, 25.9463,
